Titolo,Tipologia,Data Inizio,Data Fine,Orario,Luogo,Prezzo,Link,Fonte
De Sanctis - Degustazione Vino Premium,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€45,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/de-sanctis-degustazione-premium,WineriesExperience
De Sanctis - Pranzo con Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€45,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/de-sanctis-pranzo-con-degustazione,WineriesExperience
Eredi dei Papi - Aperitivo in Vigna,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/eredi-dei-papi-aperitivo-in-vigna,WineriesExperience
Eredi dei Papi - Degustazione 3 Vini con Light Lunch,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/eredi-dei-papi-degustazione-3-vini-con-light-lunch,WineriesExperience
Eredi dei Papi - Degustazione 4 Vini con Light Lunch,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€45,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/eredi-dei-papi-degustazione-4-vini-con-light-lunch,WineriesExperience
Gaffino - Percorso classico,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€23,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/gaffino-percorso-classico,WineriesExperience
Gaffino - Percorso degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€18,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/gaffino-percorso-degustazione,WineriesExperience
Gaffino - Percorso selezione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€28,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/gaffino-percorso-selezione,WineriesExperience
Malauva - Visita e Degustazione 4 Vini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/malauva-visita-e-degustazione-4-vini,WineriesExperience
"Aiuti dal nostro ""Diario di Viaggio""",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€45,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/malauva-visita-e-degustazione-4-vini-completa,WineriesExperience
Marco carpineti - ARIA - Flying in the sky + visita delle cantine + degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€90,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/marco-carpineti-aria-flying-in-the-sky-visita-delle-cantine-degustazione,WineriesExperience
Marco carpineti - Degustazione di 4 Etichette Marco Carpineti,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€20,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/marco-carpineti-degustazione-di-4-etichette-marco-carpineti,WineriesExperience
Marco Carpineti - Degustazione Premium con Light Lunch,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€55,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/marco-carpineti-degustazione-premium-con-light-lunch,WineriesExperience
Marco carpineti - Degustazione Tradizionale,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/marco-carpineti-etere-classic-visita-guidata-in-cantina-presso-le-nostre-tenute-degustazione-linea-classic,WineriesExperience
Esperienza Divina alla Casa Divina Provvidenza: Tour e degustazione nella Sala dei Cristalli,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/divina-experience_d6864_travel,Winedering
Degustazione classica di vini presso la Cantina Costantini nei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/classic-wine-tasting-at-cantina-costantini-in-castelli-romani_d3233_travel,Winedering
Degustazione Superior presso la Cantina Costantini ai Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/superior-wine-tasting-at-cantina-costantini-in-castelli-romani_d3234_travel,Winedering
Degustazione presso Cantina Fabullus con abbinamento di vini a Trastevere,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/rome-fabullus-wine-cellar-food-tasting-with-wine-pairing-in-trastevere_d5842_travel,Winedering
"Degustazione di vini presso Merumalia, a pochi passi da Roma",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/frascati-docg-tasting-at-merumalia-just-a-stones-throw-from-rome_d2348_travel,Winedering
Degustazione Prestige presso la Cantina Costantini ai Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/prestige-wine-tasting-at-cantina-costantini-in-castelli-romani_d3236_travel,Winedering
Degustazione di vini & tour della cantina e del vigneto presso Tenimenti Leone,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-vineyard-tour-at-tenimenti-leone_d2550_travel,Winedering
I vini selezionati di Roma: Degustazione privata di vini e tour,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/romes-selected-wines-private-wine-tasting-and-tour_d3800_travel,Winedering
Degustazione di vini e tour alle Cantine Capitani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-and-tour-at-cantine-capitani_d2278_travel,Winedering
Degustazione Deluxe presso Villa Simone nei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/deluxe-wine-tasting-at-villa-simone-in-castelli-romani_d2119_travel,Winedering
Wine experience alla Cantina Le Macchie vicino a Roma - Tour e degustazione di vini con prodotti locali,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/vineyard-and-cellar-tour-wine-tasting-experience-at-le-macchie-winery_d3519_travel,Winedering
Degustazione di vini e tour presso Pileum,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-and-tour-at-pileum_d2291_travel,Winedering
Wine Tour di Trastevere a Roma,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/trastevere-wine-tour-in-rome_d2572_travel,Winedering
Esclusiva degustazione di vini nel cuore di Roma,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/exclusive-wine-tasting-experience-in-the-heart-of-rome_d5546_travel,Winedering
"Esperienza enogastronomica vicino a Roma, mangia e degusta 7 vini della Cantina le Macchie",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-food-experience-near-rome-eat-and-taste-7-wines-from-cantina-le-macchie_d6999_travel,Winedering
Eredi dei Papi: Tour e degustazione nel cuore dei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/eredi-dei-papi-tour-and-wine-tasting-in-the-heart-of-the-castelli-romani_d5314_travel,Winedering
Un viaggio attraverso il gusto e la tradizione presso la Cantina Le Macchie,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-lovers_d6590_travel,Winedering
"Esperienza di degustazione di vini al Rifugio Divino, Cantina Le Macchie",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/sleeptaste-at-rifugio-divino_d6593_travel,Winedering
Lazio’s Legacy: Costantini Wine & Gourmet Journey,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/prestige-wine-tasting-at-cantina-costantini-winery,Winetourism.com
Lazio Wine & Bites: Cantina Costantini Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/classic-wine-tasting-at-cantina-constantini-winery,Winetourism.com
Lazio’s Castelli Romani Wine & Tasting Journey,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/superior-tasting-at-cantina-constantini-winery,Winetourism.com
Lazio Grape Harvest & Wine Tasting Adventure,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Di Presciano, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/grape-harvesting-on-a-wine-tasting-tour-of-cantina-costantini,Winetourism.com
Lazio's Finest: Wine & Cuisine at Costantini,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/historic-cellar-cantina-costantini,Winetourism.com
Sunset Vineyard Picnic & Wine Dinner in Lazio,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Colli San Paolo 13, 00072 Ariccia Rome, Italy",Consulta sito,https://www.winetourism.com/experience/wine-tasting-vineyard,Winetourism.com
Lazio Seaside Wine & Vineyard Tour at Etruscaia,Degustazione,Prenotare,Prenotare,Consulta sito,"01016, Tarquinia, Viterbo, Italy",120.00,https://www.winetourism.com/experience/visit-and-wine-tasting-at-etruscaia,Winetourism.com
Lazio’s Organic Wine & Farm Feast at Etruscaia,Degustazione,Prenotare,Prenotare,Consulta sito,"01016, Tarquinia, Viterbo, Italy",60.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-azienda-vitivinicola-etruscaia,Winetourism.com
Lazio’s Volcanic Vines: Organic Wine & Roman Heritage,Degustazione,Prenotare,Prenotare,Consulta sito,"Vicolo Prataporci 8, 00044 Frascati Rome, Italy",43.75,https://www.winetourism.com/experience/wine-experience-and-tasting-at-merumalia-family-vineyard,Winetourism.com
"Lazio Vineyard Tour, Tasting & Gourmet Feast",Degustazione,Prenotare,Prenotare,Consulta sito,"Via Foresta 51, 02100 Rieti Rieti, Italy",75.00,https://www.winetourism.com/experience/wine-food-experience-cantina-le-macchie,Winetourism.com
Organic Wine Journey in Lazio's Volcanic Vineyards,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Pietra Porzia 50, Frascati, Italia / Roma / Lazio, 44, Italy",35.00,https://www.winetourism.com/experience/popular-wine-tasting-and-tour-at-azienda-biologica-de-sanctis-winery,Winetourism.com
Lazio Winemaking & Tasting at Cantina I Ciacca,Degustazione,Prenotare,Prenotare,Consulta sito,"03040, Picinisco, Frosinone, Italy",50.00,https://www.winetourism.com/experience/wine-tasting-at-cantina-i-ciacca,Winetourism.com
Lazio Vineyard Tour: Organic Wines & Seasonal Feast,Degustazione,Prenotare,Prenotare,Consulta sito,"Vicolo Prataporci 8, 00044 Frascati Rome, Italy",70.00,https://www.winetourism.com/experience/wine-tour-with-tasting-and-lunch,Winetourism.com
Lazio Vineyard Tour & Wine Tasting at Casale Del Giglio,Degustazione,Prenotare,Prenotare,Consulta sito,"Strada Cisterna Nettuno Km 13, Le Ferriere, 4100, Italy",46.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-casale-del-giglio-societa-agricola,Winetourism.com
Lazio's Ancient Maturano: Rare Organic Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"03040, Picinisco, Frosinone, Italy",50.00,https://www.winetourism.com/experience/maturano-a-unique-historic-grape-vertical-tasting-cantina-ciacca,Winetourism.com
Titolo non trovato,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winetourism.com/experience/stay-at-cantina-i-ciacca,Winetourism.com
Lazio Vineyard Walk & Organic Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Pietra Porzia 50, Frascati, Italia / Roma / Lazio, 44, Italy",30.00,https://www.winetourism.com/experience/walk-and-tasting-of-wines,Winetourism.com
Lazio Wine & Sky: Frascati Vineyards Tour & Flight,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Pietra Porzia 50, 00044 Frascati Rome, Italy",135.00,https://www.winetourism.com/experience/tasting-and-flying-over-the-vineyards-of-frascati,Winetourism.com
Lazio Vineyard Immersion & Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Foresta 51, 02100 Rieti Rieti, Italy",30.00,https://www.winetourism.com/experience/the-origins-cantina-le-macchie,Winetourism.com
Lazio Vineyard & Cellar Tour with Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Foresta 51, 02100 Rieti Rieti, Italy",40.00,https://www.winetourism.com/experience/wine-lovers-cantina-le-macchie,Winetourism.com
Wine & Food Experience- wine tour and a 4 course seasonal products lunch or dinner  with 7 paired wines.,Degustazione,Prenotare,Prenotare,Consulta sito,"Spanish Square 73, 00187 Rome Rome, Italy",200.00,https://www.winetourism.com/experience/wine-food-experience-wine-tour-and-a-4-course-seasonal-products-lunch-or-dinner-with-7-paired-wines,Winetourism.com
Wine & Food Experience- wine tour and a 4 course seasonal products lunch or dinner  with 7 paired wines.,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Leonardo Da Vinci 126, 00054 Fiumicino Rome, Italy",200.00,https://www.winetourism.com/experience/wine-food-experience-wine-tour-and-a-4-course-seasonal-products-lunch-or-dinner-with-7-paired-wines-2,Winetourism.com
Evolution Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Frascati Colonna 29, 00078 Monte Porzio Catone Rome, Italy",50.00,https://www.winetourism.com/experience/evolution-wine-tasting,Winetourism.com
Deluxe Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Frascati Colonna 29, 00078 Monte Porzio Catone Rome, Italy",50.00,https://www.winetourism.com/experience/evolution-wine-tasting-copy,Winetourism.com
Lazio Wine Journey: Vineyard Tour & Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Ardeatina 169, 00040 Ardea Rome, Italy",23.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-cantina-gaffino,Winetourism.com
Lazio Vineyard Feast & Wine Journey at Casal Pilozzo,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Pilozzo 17, Monte Porzio Catone, 78, Italy",20.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-casal-pilozzo,Winetourism.com
Lazio Wine Journey at Pileum Winery,Degustazione,Prenotare,Prenotare,Consulta sito,"Piglio, Frosinone, Italy",25.00,https://www.winetourism.com/experience/winery-visit-and-wine-tasting-at-pileum,Winetourism.com
Lazio’s Finest: Pileum Wine & Gourmet Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Piglio, Frosinone, Italy",40.00,https://www.winetourism.com/experience/wine-lovers-wine-tour-wine-tasting-and-tour-at-pileum,Winetourism.com
Lazio Wine & Bites at Pileum Winery,Degustazione,Prenotare,Prenotare,Consulta sito,"Contrada Piglio, 03017 Morolo Frosinone, Italy",20.00,https://www.winetourism.com/experience/aperitif-at-pileum,Winetourism.com
Lazio Wine Journey: Vineyard Tour & Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Di Monterosi 28, 00069 Trevignano Romano Rome, Italy",33.00,https://www.winetourism.com/experience/popular-wine-tour-and-tasting-at-cantine-capitani,Winetourism.com
Lazio Vineyards: Wine Tour & Tasting at Cantine Capitani,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Di Monterosi 5, 00069 Trevignano Romano Rome, Italy",57.00,https://www.winetourism.com/experience/premium-wine-tour-and-tasting-at-cantine-capitani,Winetourism.com
Lazio Vineyard Picnic & Wine Tour at Cantine Capitani,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Di Monterosi 5, 00069 Trevignano Romano città metropolitana di Roma Capitale, Italia",45.00,https://www.winetourism.com/experience/picnic-in-the-vineyards-cantine-capitani,Winetourism.com
Lazio Vineyard Tour & Wine Tasting Experience,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Ardeatina 169, 00040 Ardea Rome, Italy",18.00,https://www.winetourism.com/experience/tasting-itinerary,Winetourism.com
Lazio Wine Journey: Tasting & Tour at Cantina Gaffino,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Ardeatina 169, 00040 Ardea Rome, Italy",28.00,https://www.winetourism.com/experience/esplora-cantina-gaffino-tour-di-degustazione-e-cantina-copy,Winetourism.com
“IDENTITY” Tasting  at the Colle Picchioni winery,Degustazione,Prenotare,Prenotare,Consulta sito,,45.00,https://www.winetourism.com/experience/identity-tasting-at-the-colle-picchioni-winery,Winetourism.com
"""Stories"" Tasting at the Colle Picchioni Winery",Degustazione,Prenotare,Prenotare,Consulta sito,,60.00,https://www.winetourism.com/experience/stories-tasting-at-the-colle-picchioni-winery,Winetourism.com
From Sunset to the Glass - Dinners in the Vineyard & Evenings Among the Vines,Degustazione,Prenotare,Prenotare,Consulta sito,,68.00,https://www.winetourism.com/experience/from-sunset-to-the-glass-dinners-in-the-vineyard-evenings-among-the-vines,Winetourism.com
A Dinner for Two,Degustazione,Prenotare,Prenotare,Consulta sito,,200.00,https://www.winetourism.com/experience/a-dinner-for-two,Winetourism.com
Lazio Wine & Wildlife Tour at La Ferriera,Degustazione,Prenotare,Prenotare,Consulta sito,"La Ferriera Srl Societa Agricola, Via Ferriera, Atina, FR, Italy",18.00,https://www.winetourism.com/experience/wine-tasting-and-winery-tour-of-la-ferriera,Winetourism.com
Lazio Wine & Vineyard Tour at Castello Montesasso,Degustazione,Prenotare,Prenotare,Consulta sito,"{43.96033133,12.1822479}",20.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-castello-montesasso,Winetourism.com
Lazio's Finest: Gotto d'Oro Wine & Vineyard Journey,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Del Divino Amore, 347, Marino, 47, Italy",25.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-gotto-doro,Winetourism.com
Lazio Wine & Harvest Tour at Casale Mattia,Degustazione,Prenotare,Prenotare,Consulta sito,"Casale Mattia Via di Monte Mellone 00044 Monte Compatri RM, Italy",35.00,https://www.winetourism.com/experience/a-tour-and-tasting-at-casale-mattia,Winetourism.com
Lazio Wine & Vineyard Escape at Migrante,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Formale, 00035 Olevano Romano RM, Italy",20.00,https://www.winetourism.com/experience/visiting-and-tasting-at-azienda-agricola-migrante,Winetourism.com
Lazio Wine & Cellar Journey: Taste the Terroir,Degustazione,Prenotare,Prenotare,Consulta sito,"Marino, Rome, Italy",25.00,https://www.winetourism.com/experience/tasting-with-visit-to-the-cellar-at-dino-limiti,Winetourism.com
Lazio Vineyard Tour & Natural Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Sciobaco 9, 04022 Fondi province of Latina, Italy",60.00,https://www.winetourism.com/experience/glass-in-hand-take-the-glass,Winetourism.com
Tasting in the Cellar with food and wine pairings,Degustazione,Prenotare,Prenotare,Consulta sito,"Albano Laziale, città metropolitana di Roma Capitale, Italia",20.00,https://www.winetourism.com/experience/tasting-in-the-cellar-with-food-and-wine-pairings,Winetourism.com
"6 Italian Fine Wines, Cured Meats & Cheeses Tasting",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,85.00,https://www.winetourism.com/book-a-local-wine-guide/patrizia-bortone/wine-tasting-with-6-different-italian-fine-wines-cured-meats-cheeses,Winetourism.com
Secret Food Tours Rome Trastevere,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,99.00,https://www.winetourism.com/book-a-local-wine-guide/secret-food-tours/secret-food-tours-rome,Winetourism.com
Shades of Italian Terroir - A Tasting of Minimal Intervention wines,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,75.00,https://www.winetourism.com/book-a-local-wine-guide/maurizio/shades-of-italian-terroir-a-tasting-of-minimal-intervention-wines,Winetourism.com
Low intervention wines made near Rome and its overlooked region of Lazio,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,75.00,https://www.winetourism.com/book-a-local-wine-guide/maurizio/low-intervention-wines-made-near-rome-and-its-overlooked-region-of-lazio,Winetourism.com
Learn Wine Tasting in Rome at Glu Glu Winebar,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,50.00,https://www.winetourism.com/book-a-local-wine-guide/daniele-federico/local-wine-tasting,Winetourism.com
Guided Private Tour with Wine Tasting and Lunch to Tuscany from Rome,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,280.00,https://www.winetourism.com/book-a-local-wine-guide/andrea-p/guided-private-tour-with-wine-tasting-and-lunch,Winetourism.com
Sagra del Fagiolo carne a Fabrica di Roma,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Fabrica di Roma (VT),Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-del-fagiolo-carne-a-fabrica-0040,ItinerariNelGusto
Vinòforum,Sagra / Festa,08/09/2025,14/09/2025,Consulta sito,"Roma, Villa Borghese",Consulta sito,https://www.itinerarinelgusto.it/eventi/vinoforum-5759,ItinerariNelGusto
Borgo diVino in Tour a Nemi,Sagra / Festa,12/09/2025,14/09/2025,Consulta sito,Nemi,Consulta sito,https://www.itinerarinelgusto.it/eventi/borgo-divino-in-tour-7165,ItinerariNelGusto
TTS Street Food Colleferro,Sagra / Festa,12/09/2025,14/09/2025,Consulta sito,"Colleferro, piazzale piscina",Consulta sito,https://www.itinerarinelgusto.it/eventi/tts-street-food-colleferro-7170,ItinerariNelGusto
Festa Patronale di Santa Maria e Sagra della Cucina Regionale,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Setteville, davanti la Chiesa Santa Maria",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-della-cucina-regionale-0032,ItinerariNelGusto
Sagra del Ciammellocco e dei Longarini a Cretone,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Cretone,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-del-ciammellocco-e-dei-longarini-a-cretone-1067,ItinerariNelGusto
Festa del Fungo Porcino e Fiera di Lariano,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Lariano,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festa-del-fungo-porcino-e-fiera-di-lariano-2505,ItinerariNelGusto
Sagra del Fungo Porcino di Oriolo Romano,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Oriolo Romano,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-del-fungo-porcino-di-oriolo-romano-vt-1597,ItinerariNelGusto
Cantine aperte in Vendemmia 2025,Sagra / Festa,01/09/2025,31/10/2025,Consulta sito,Aziende del Movimento Turismo Vino,Consulta sito,https://www.itinerarinelgusto.it/eventi/cantine-aperte-in-vendemmia-4659,ItinerariNelGusto
Vigneti Aperti 2025,Sagra / Festa,01/03/2025,31/10/2025,Consulta sito,Cantine aderenti,Consulta sito,https://www.itinerarinelgusto.it/eventi/vigneti-aperti-5541,ItinerariNelGusto
La cena dei mille,Sagra / Festa,13/09/2025,Consulta sito,Consulta sito,"Sgurgola, centro storico",Consulta sito,https://www.itinerarinelgusto.it/eventi/la-cena-dei-mille-7221,ItinerariNelGusto
Vendemmiata Romana 2025,Sagra / Festa,14/09/2025,Consulta sito,Consulta sito,"Roma, Museo Orto Botanico",Consulta sito,https://www.itinerarinelgusto.it/eventi/vendemmiata-romana-8548,ItinerariNelGusto
Note di Vino e Tradizioni ad Ariccia,Sagra / Festa,21/09/2025,Consulta sito,Consulta sito,"Ariccia, Palazzo Chigi",Consulta sito,https://www.itinerarinelgusto.it/eventi/note-di-vino-e-tradizioni-ad-ariccia-9122,ItinerariNelGusto
Sagra degli Gnocchi a Castelnuovo di Porto,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Castelnuovo di Porto,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-degli-gnocchi-a-castelnuovo-di-porto-1111,ItinerariNelGusto
Fiera dei Sapori d'Italia a Frascati,Sagra / Festa,18/09/2025,28/09/2025,Consulta sito,"Frascati, Villa Torlonia",Consulta sito,https://www.itinerarinelgusto.it/eventi/fiera-dei-sapori-di-frascati-5326,ItinerariNelGusto
Caseifici Agricoli Open Day,Sagra / Festa,27/09/2025,28/09/2025,Consulta sito,"Italia, Caseifici aderenti",Consulta sito,https://www.itinerarinelgusto.it/eventi/caseifici-agricoli-open-day-5989,ItinerariNelGusto
Sagra degli Strigliozzi,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Castel di Tora,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-degli-strigliozzi-1106,ItinerariNelGusto
Sagra del Tartufo a Canterano,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Canterano, centro storico",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/sagra-del-tartufo-a-canterano-0391,ItinerariNelGusto
Cioccofest e Festa della Castagna a Caprarola,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Caprarola, Parco delle Scuderie di Palazzo Farnese",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/cioccofest-e-festa-della-castagna-a-caprarola-2588,ItinerariNelGusto
Cerealia. La festa dei cereali. Cerere e il Mediterraneo,Sagra / Festa,20/09/2025,31/10/2025,Consulta sito,Evento diffuso,Consulta sito,https://www.itinerarinelgusto.it/eventi/cerealia-la-festa-dei-cereali-cerere-e-il-mediterraneo-9127,ItinerariNelGusto
Oktoberfest Roma,Sagra / Festa,29/09/2023,30/09/2023,Consulta sito,"Roma, Appia Joy Park",Consulta sito,https://www.itinerarinelgusto.it/eventi/oktoberfest-roma-7301,ItinerariNelGusto
Palio delle 4 Porte,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Alatri, centro storico",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/palio-delle-4-porte-2542,ItinerariNelGusto
Palio delle Quattro Porte,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Vallecorsa, centro storico",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/palio-delle-quattro-porte-2543,ItinerariNelGusto
Festa dell'Uva - Sgurgola,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Sgurgola,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festa-dell-uva-sgurgola-2544,ItinerariNelGusto
Festa di Sant'Antonio a Roccagorga,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Roccagorga,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festa-di-sant-antonio-a-roccagorga-2564,ItinerariNelGusto
Festa di San Giustino a Valentano,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Valentano, centro",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festeggiamenti-di-san-giustino-a-valentano-2569,ItinerariNelGusto
Festa della Madonna del Soccorso a Canale Monterano,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,Canale Monterano,Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festa-della-madonna-del-soccorso-a-canale-monterano-2586,ItinerariNelGusto
Festa di San Nilo,Sagra / Festa,Consulta sito,Consulta sito,Consulta sito,"Grottaferrata, Abbazia di San Nilo",Consulta sito,https://www.itinerarinelgusto.it/sagre-e-feste/festa-di-san-nilo-2595,ItinerariNelGusto
